index,split,y,task,重建F3中期峰幅,重建F3中期峰时,重建F3中期均幅,重建F3中期面积,重建Fz中期峰幅,重建Fz中期峰时,重建Fz中期均幅,重建Fz中期面积,重建F4中期峰幅,重建F4中期峰时,重建F4中期均幅,重建F4中期面积,重建中期双侧差,重建中期中额与双侧差,重建F3晚期峰幅,重建F3晚期峰时,重建F3晚期均幅,重建F3晚期面积,重建Fz晚期峰幅,重建Fz晚期峰时,重建Fz晚期均幅,重建Fz晚期面积,重建F4晚期峰幅,重建F4晚期峰时,重建F4晚期均幅,重建F4晚期面积,重建晚期双侧差,重建晚期中额与双侧差
200,train,-1,1,-63.25303006921623,0.25,-83.78406465791387,-20.961133174188447,73.05230408854256,0.5,64.4217234150949,16.116809461569197,-10.067673803590251,0.25,-14.286938973326473,-3.5744447753247957,-69.49712568458742,113.4572252307151,-96.57519027510779,0.5,-157.96052980489233,-46.94998237520396,73.2709597131764,0.5078125,29.27788427969903,8.6590863498004,-17.118667762556186,0.5,-76.72120772758566,-22.82679906990315,-81.23932207730662,146.61875304593804
201,train,-1,1,-27.72119140239503,0.25,-36.21558901204388,-9.060361572043407,48.88877856803808,0.5,42.75733178194983,10.696967021340818,-11.841410533049018,0.25,-15.465532898686423,-3.869143138935003,-20.750056113357452,68.597892737315,-41.228330302717524,0.796875,-41.93151851054788,-12.45083059579018,50.81836583815531,0.67578125,50.29066853301145,14.93353100220007,-17.24408762353492,0.796875,-17.67554425103863,-5.248267866943261,-24.25597425950927,80.09419991380473
202,train,1,1,-6.926849200828574,0.25,-8.85185193357743,-2.214515156087481,55.353468930732184,0.5,48.322520280370455,12.089278403255078,-35.49548859118571,0.25,-46.18239668791438,-11.553815781975564,37.33054475433693,75.83964459111635,6.3561138503333865,0.796875,0.23134411125116255,0.07666605767537554,69.07576859741724,0.74609375,64.59975269024417,19.188346527755918,-36.7929186073544,0.796875,-43.406549092891275,-12.881158674280675,43.637893204142415,86.18735518106422
203,train,-1,1,31.267680559516112,0.5,26.495112780060225,6.628706589615213,-20.596346690473883,0.25,-25.833734517135625,-6.4628934845055275,34.923032708349325,0.5,29.692288539529923,7.428571305439395,-3.197175759469697,-53.9274351769307,147.86331025169056,0.78515625,105.6335119026658,31.423043073620605,59.92153544079688,0.79296875,27.058162232418802,8.077784883145624,151.5748266165682,0.78125,109.37088073199162,32.53281640806018,-3.737368829325825,-80.44403408490992
204,train,1,1,-205.09714435965793,0.25,-272.07484085153305,-68.06785664346725,431.0081660551684,0.5,378.8785107538188,94.7868266062102,-195.16891182311974,0.25,-259.10165287528633,-64.82224361039607,-12.973187976246509,644.4667576172286,-313.8895648843817,0.5,-534.1992688993035,-158.78785880094648,432.4152669383802,0.51171875,277.12849735804605,82.165565530083,-299.057233441316,0.5,-519.0341381692213,-154.2847288006431,-15.165130730082353,803.7452008923085
206,train,1,1,6.137475796187989,0.46875,5.631529674350628,1.4107613006049415,-11.62768079013961,0.25,-14.31040661926253,-3.5782344421116434,9.67515298360544,0.46875,8.877577736001687,2.2227682699393996,-3.246048061651059,-21.564960324438694,5.020048189065124,0.5,-1.7823427783461174,-0.5459000704186862,0.0,0.765625,-19.6749663540692,-5.885304049167633,8.595386995217073,0.5,1.40777206083638,0.406643574948409,-3.190114839182499,-19.487680995314324
207,train,-1,1,16.998483284981248,0.5,15.146914731583962,3.7893679150910566,20.386468731157137,0.5,18.045175775864408,4.514465711099989,-34.202178948498464,0.25,-45.152219169381816,-11.29618046594011,60.29913390096576,33.04782799476334,17.041223514716226,0.5078125,-6.712026438320855,-2.011465717452988,20.443996704823718,0.5078125,2.3682477526566346,0.6891175440698265,-51.94191450980122,0.5,-77.19926906466718,-22.941929328935377,70.48724262634636,44.32389550415066
208,train,-1,1,-4.4813233835553135,0.25,-5.592651856389521,-1.3975542516775938,-3.208085265938493,0.25,-4.0103365898543455,-1.0020748619747182,9.158077561861633,0.46875,8.403128104755211,2.1035248001034814,-13.995779961144732,-5.41557471403719,0.0,0.765625,-10.78952385723353,-3.231584048683221,0.0,0.765625,-8.000521422064875,-2.3964979627224996,8.399920932819581,0.5,2.965092369018885,0.8754380935470479,-13.754616226252415,-4.0883056779575515
209,train,-1,1,-11.55022017321377,0.25,-14.345674783899415,-3.5856087014005475,21.29420245261901,0.47265625,19.53688302982573,4.889498376784262,-10.88374881554347,0.25,-13.533387460408816,-3.382413013829335,-0.812287323490594,33.476414151979846,0.0,0.765625,-24.95464384282555,-7.471600205426767,20.172977834528275,0.5,10.87485018825793,3.231550685853894,0.0,0.765625,-24.15635318442131,-7.23323678211699,-0.7982906584042232,35.430348701881364
210,train,1,1,-3.2105483914274737,0.25,-3.5523297292823437,-0.888626017987205,-10.16067590203303,0.25,-12.783905857080262,-3.198189236690106,35.21166401314126,0.5,30.408341188925085,7.607604541979279,-33.96067091820743,-26.211911586901632,49.38662557022759,0.7890625,29.947852566444602,8.91840118039314,26.22846268776707,0.796875,11.207083453619244,3.3475323935598897,88.79465082217517,0.77734375,69.6464998919056,20.706507259039224,-39.698647325461,-38.59009277555587
211,train,-1,1,-4.954245298375718,0.25,-6.272367703167613,-1.5664329818217158,10.890977034292249,0.46875,9.993175103099356,2.5018231861915736,-7.606901140141595,0.25,-9.505392932311244,-2.3751822573218058,3.233025229143631,17.882055420838782,0.0,0.765625,-15.636685934164396,-4.68673782117309,9.832661806616619,0.5,2.556774070597426,0.7498252833308343,0.0,0.765625,-18.814002339546445,-5.635459953083198,3.1773164053820437,19.782118207452843
212,train,1,1,-27.091087601307173,0.25,-38.252787387647935,-9.571127191360125,21.991796086829098,0.5,18.07818755695101,4.523310575096798,30.912310057158145,0.5,25.440509835150245,6.365422890753228,-63.693297222798186,24.484326333199856,-0.219696362966614,0.796875,-23.24169502094298,-6.901654660245534,59.09756726488575,0.796875,41.31763517767554,12.269192292988897,79.39574518115671,0.796875,56.20611184230782,16.69029915718181,-79.44780686325082,24.83542676699313
