index,split,y,task,重建F3中期峰幅,重建F3中期峰时,重建F3中期均幅,重建F3中期面积,重建Fz中期峰幅,重建Fz中期峰时,重建Fz中期均幅,重建Fz中期面积,重建F4中期峰幅,重建F4中期峰时,重建F4中期均幅,重建F4中期面积,重建中期双侧差,重建中期中额与双侧差,重建F3晚期峰幅,重建F3晚期峰时,重建F3晚期均幅,重建F3晚期面积,重建Fz晚期峰幅,重建Fz晚期峰时,重建Fz晚期均幅,重建Fz晚期面积,重建F4晚期峰幅,重建F4晚期峰时,重建F4晚期均幅,重建F4晚期面积,重建晚期双侧差,重建晚期中额与双侧差
0,train,-1,1,-34.838014118729134,0.25,-42.658177976395955,-10.675424406267418,29.50740011957587,0.5,20.940162663956617,5.23621756692334,-11.05495855747111,0.5,-15.139491215377955,-3.791458495480133,-27.518686761017996,49.83899725984357,-28.3223084621209,0.796875,-37.91105892993135,-11.259908085827119,42.89876329874981,0.796875,36.99682142271792,10.986531905625462,8.920112320433418,0.796875,-1.4242832020893201,-0.4242280603217144,-36.48677572784204,56.66449248872828
3,train,-1,1,-115.62058399346022,0.25,-170.1592430875231,-42.564975938968416,2.3049790664178085,0.29296875,1.9727643703550064,0.49418595987423497,-107.44200936790244,0.25,-158.30496935152232,-39.59955767593676,-11.854273736000712,166.20487058987766,-211.81333663271187,0.5,-231.7406545176018,-68.82089564890619,1.1954937330399522,0.5,-0.4181106476364685,-0.12396516198836272,-197.23047625038004,0.5,-216.0231811156877,-64.1531904544849,-15.717473401914107,223.46380716900825
4,train,1,1,-75.38677653235483,0.25,-113.00998862322216,-28.268115545133995,-1.4210660302158202,0.25,-3.9123184175066195,-0.9776918017324195,-65.20077271858877,0.25,-98.24608623037756,-24.57483607779747,-14.76390239284456,101.71571900929324,-142.63658537792617,0.5,-158.74358457729628,-47.142364957309425,-6.602125758645919,0.5,-9.595683615967577,-2.849387681931909,-124.47436539819226,0.5,-139.16826108335124,-41.32897263790287,-19.575323493945046,139.36023921435617
5,train,-1,1,-235.82516038877196,0.25,-349.76266473702094,-87.49096140822418,1.7088913410713262,0.25,-1.4590997623760165,-0.36288160812332865,-248.41970128188672,0.25,-368.01757371097375,-92.05753728346647,18.254908973952794,357.4310194616213,-437.9490144131995,0.5,-482.66609895073503,-143.33875782168448,-5.596477090809168,0.5,-11.30069648462526,-3.355402292096307,-460.4057920098624,0.5,-506.87011622267516,-150.52675898810227,24.204017271940003,483.4674111020799
6,train,-1,1,-10.095314333951364,0.25,-12.414387010057764,-3.1058527617184795,5.059738884361891,0.5,3.840298974489948,0.9603740327195562,-16.003376857123513,0.25,-20.31735191886117,-5.0827147182995365,7.902964908803402,20.20616843894942,0.0,0.765625,-11.493141730462257,-3.4304012568700974,6.6230645257344625,0.76171875,5.2451135008378715,1.5677494926653717,0.0,0.765625,-20.14692799127055,-6.015086862949607,8.653786260808298,21.06514836170428
7,train,-1,1,41.88171091921511,0.5,32.91762837248401,8.233769838562282,2.5512587140050345,0.5,1.5156460535331997,0.3787648638409732,59.959816474051834,0.5,47.613154919182115,11.90994467448665,-14.695526546698122,-38.749745592299874,49.93873972974991,0.796875,47.062893198564126,13.976299027206856,4.71942296650643,0.796875,3.7015641612416372,1.0991605452162114,69.8269338149637,0.796875,66.54755778188557,19.762767867424536,-19.484664583321408,-53.10366132898321
8,train,1,1,4.05570583356317,0.5,2.635973177286863,0.6589510313565861,3.0037744357249476,0.5,2.114566776606757,0.5287471062420568,-3.0395855982537903,0.25,-3.5639137775850878,-0.8919881838290751,6.19988695487195,2.578537076755868,6.726123546602572,0.796875,5.4980368056076445,1.6326481224285385,4.425520118652929,0.796875,3.795308521735595,1.1270473003767654,-1.6644948278430292,0.796875,-2.7223367472769002,-0.8086017751669504,8.220373552884544,2.407458492570221
9,train,1,1,34.8222255227816,0.5,27.804370266998507,6.955086607785265,0.27906451539496335,0.5,-0.021820401186851007,-0.005629183184768535,44.1899205919071,0.5,35.41928385139651,8.860003291630958,-7.614913584397974,-31.63364746038437,40.029850214902,0.796875,38.38796427918304,11.400184420422866,1.1590171783021315,0.796875,0.7247546118094229,0.21518384477530084,50.34286173317268,0.78515625,48.48450873109381,14.39861118907577,-10.096544451910768,-42.71148189332899
10,train,1,1,-101.21090530947576,0.25,-170.07780757931053,-42.54382369086721,-1.927477285176118,0.25,-6.45779027139072,-1.6134287789025086,-92.46720436230066,0.25,-155.96880089635803,-39.0141973875917,-14.109006682952506,156.56551396644358,-226.46635027688149,0.5,-260.40336958299787,-77.33521655843852,-11.509723197532765,0.5,-17.333672443199433,-5.147112832590517,-208.20784971728764,0.5,-240.1526908378496,-71.32099756201151,-20.250678745148328,232.94435776722423
11,train,1,1,9.600905214473357,0.5,8.077043929373398,2.020708457105632,-0.9649633956604342,0.25,-1.570510580483098,-0.3927801064091966,23.91742253331971,0.5,19.71480982675644,4.931965974989603,-11.637765897383044,-15.466437458548018,10.023920280427475,0.63671875,9.883195575142715,2.9351227752671862,-2.0979975856336437,0.5,-2.4912891863258624,-0.7398245292644212,25.74431704714781,0.6953125,25.313603209000156,7.517576457410721,-15.430407633857433,-20.089688578397293
